"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520203220033042500031","3220000","신고","소독업","영업중","㈜상상캔버스","","02-3446-3301","20200709","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 질병관리과 민원접수번호 202032200000996091호를 처리함","20200709","","","20200710","","2020-07-10 07:59:33.0","2020-07-10 07:59:33.0","1","0","0","0","1","","","","","","",""
"PHMB520073220033042500003","3220000","신고","소독업","영업중","(주)다대오서비스","서울특별시 강남구 수서동 712번지 한아름종합상가 205호","445-0493","20070223","상호및대표자 다대오서비스 문미경-> (주)다대오서비스 대표이사 이양석 (2012.3.19일자)","","20170911","","127","20170911","","2012-03-20 11:39:52.0","2017-09-11 17:18:24.0","1","0","0","0","1","135220","1168011500","1168075000","1","712","","한아름종합상가 205호"
"PHMB520083220033042500015","3220000","신고","소독업","영업중","(주)한켐","서울특별시 강남구 삼성동 109번지 5호","","20080218","소독업소 초기자료 등록","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 처리된 대장정보를 초기자료 등록함.","20170911","","","20170911","","2017-09-11 17:37:11.0","2017-09-11 17:37:11.0","1","0","0","0","1","135091","","","1","109","5",""
"PHMB519983220033042500001","3220000","신고","소독업","폐업","(주)리빙크린","서울특별시 강남구 신사동","","19980529","","","","20090220","","20090220","20090220","2009-02-20 15:01:06.0","2009-02-20 15:07:40.0","1","0","0","0","1","135120","1168010700","1168051000","1","","",""
"PHMB520063220033042500001","3220000","신고","소독업","폐업","원미환경","서울특별시 강남구 역삼동 832번지 33호 822호","566-9823","20061215","폐업신고","개인사정으로 폐업함.","","20160825","","20160825","20160825","2009-01-30 17:01:10.0","2016-08-25 15:05:13.0","1","0","0","0","1","135080","1168010100","1168064000","1","832","33",""
"PHMB520203220033042500007","3220000","신고","소독업","영업중","㈜사람코퍼레이션","서울특별시 강남구 청담동 131번지 13호","02-517-2550","20200318","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건과 민원접수번호 202032200000437649호를 처리함","20200318","","","20200319","","2020-03-19 08:18:30.0","2020-03-19 08:18:30.0","1","0","0","0","1","","1168010400","1168056500","1","131","13",""
"PHMB520133220033042500006","3220000","신고","소독업","영업중","(주)팜클","서울특별시 강남구 개포2동 163번지 5호","02-470-3826","20130709","명칭 변경 : (주)잡스 -> (주)팜클","명칭 변경 : (주)잡스 -> (주)팜클","20160218","","","20160218","","2013-07-09 15:44:30.0","2016-02-18 18:36:34.0","1","0","0","0","1","135802","1168010300","1168067000","1","163","5",""
"PHMB520163220033042500003","3220000","신고","소독업","폐업","(주)한국경호협회","서울특별시 강남구 청담동 109번지 19호 13통 1반 기린빌라 가동 102호","02-514-8112","20111208","소독업 폐업 신고","전출 신고를 하였으나 폐업으로 변경 신고.","","","","20160513","20160513","2011-12-08 10:27:22.0","2016-05-13 10:08:13.0","1","0","0","0","1","135955","1168010400","","1","109","19","기린빌라"
"PHMB520193220033042500001","3220000","신고","소독업","영업중","(주)인스케어코어","서울특별시 강남구 청담동 119번지 9호","02-486-3657","20110624","소재지변경 [ 서울특별시 광진구 능동로 276 → 서울특별시 강남구 도산대로81길 5]","","20190308","","제74호","20190308","","2011-06-24 10:41:24.0","2019-03-08 17:11:33.0","1","0","0","0","1","","1168010400","1168056500","1","119","9",""
"PHMB520133220033042500011","3220000","신고","소독업","폐업","주식회사 대원 비티에스","서울특별시 강남구 청담동 129번지 11호 세신빌딩 지하 2층","02-512-7976","20131125","폐업신고로 인한 폐업","","","20200513","","20200513","20200513","2013-11-26 09:13:54.0","2020-05-13 17:15:02.0","1","0","0","0","1","135765","1168010400","1168056500","1","129","11","세신빌딩 지하 2층"
