"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520143040033042500006","3040000","신고","소독업","영업중","에이비프로 주식회사","서울특별시 광진구 광장동 219번지 44호","070-8627-7685","20141031","소독업신고사항 변경신고(대표자) -변경전 : 김잔디 -변경후 : 김잔디 한희태","대표자 변경","20180411","","제89호","20180412","","2014-10-31 17:53:27.0","2018-04-12 14:07:34.0","1","0","0","0","1","","1121510400","1121581000","1","219","44",""
"PHMB520083040033042500006","3040000","신고","소독업","영업중","경수기업사","서울특별시 광진구 중곡동 199번지 1호 2층","419-8119","20081105","소독업신고사항 변경신고  - 변경전 : 대표자(오승훈 74.07.26)  - 변경후 : 대표자(김홍민 47.08.03)","소독업신고사항 변경신고  - 변경전 : 대표자(오승훈 74.07.26)  - 변경후 : 대표자(김홍민 47.08.03)","20150706","","제60호","20160217","","2010-11-08 15:34:45.0","2016-02-17 14:21:09.0","1","0","0","0","1","143220","1121510100","1121574000","1","199","1","2층"
"PHMB520203040033042500013","3040000","신고","소독업","영업중","선우개발","서울특별시 광진구 구의동 225-67","02-6307-5442","20200709","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건의료과 민원접수번호 202030400330002580호를 처리함","20200709","","","20200710","","2020-07-10 11:02:52.0","2020-07-10 11:02:52.0","1","0","0","0","1","","1121510300","1121585000","1","225","67",""
"PHMB520093040033042500001","3040000","신고","소독업","영업중","(주)파라다이스환경","서울특별시 광진구 자양동 203번지 12호 (지층)","","20090206","소독업소개설신고 민원","전염병예방법 시행규칙 제20조의2의 규정에 따라 보건의료과 민원접수번호 200930400330000371호를 처리함","20090206","","","20090206","","2009-02-06 16:58:04.0","2009-02-06 16:58:04.0","1","0","0","0","1","143190","1121510500","1121584700","1","203","12","(지층)"
"PHMB520093040033042500007","3040000","신고","소독업","영업중","(주)제일크린","서울특별시 광진구 자양동 634번지 36호 2층","3437-1683","20091124","소독업신고사항 변경신고(창고 소재지변경 사무실 미변경)  - 변경전(창고): 광진구 아차산로40길 50 1층(자양동)  - 변경후(창고): 광진구 자양로5길 51-4 1층(자양동)","소독업신고사항 변경신고(창고 소재지변경 사무실 미변경)  - 변경전(창고): 광진구  아차산로40길 50 1층(자양동)  - 변경후(창고): 광진구 자양로5길 51-4 1층(자양동)","20150819","","제67호","20150819","","2009-11-24 18:16:57.0","2015-08-19 20:03:17.0","1","0","0","0","1","","1121510500","1121582000","1","634","36","2층"
"PHMB520153040033042500002","3040000","신고","소독업","영업중","풀잎환경","서울특별시 광진구 중곡동 631번지 1호","02-434-5355","20150309","소독업신고사항 변경신고(소재지)  - 변경전 : 광진구 용마산로8길 31(중곡동)  - 변경후 : 광진구 면목로7길 23 1층(중곡동)","소독업신고사항 변경신고(소재지)  - 변경전 : 광진구 용마산로8길 31(중곡동)  - 변경후 : 광진구 면목로7길 23 1층(중곡동)","20150819","","제93호","20150819","","2015-03-09 15:14:36.0","2015-08-19 15:35:04.0","1","0","0","0","1","","1121510100","1121574000","1","631","1",""
"PHMB520203040033042500010","3040000","신고","소독업","영업중","(주)내이드디앤씨","","02-462-6280","20200603","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건의료과 민원접수번호 202030400330002173호를 처리함","20200603","","","20200604","","2020-06-04 09:26:36.0","2020-06-04 09:26:36.0","1","0","0","0","1","","","","","","",""
"PHMB520163040033042500003","3040000","신고","소독업","영업중","(주)씨토스템","","024645776","20160728","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건의료과 민원접수번호 201630400330003020호를 처리함","20160728","","","20160801","","2016-08-01 16:52:24.0","2016-08-01 16:52:24.0","1","0","0","0","1","","","","","","",""
"PHMB520083040033042500001","3040000","신고","소독업","영업중","힐스(HEALS)","서울특별시 광진구 자양동 672번지 17호","2201-3110","20081105","소독업신고사항 변경신고(소재지)  - 변경전 : 광진구 자양로4길 25 1층(자양동)  - 변경후 : 광진구 자양강변길 491 1층(자양동)","소독업신고사항 변경신고(소재지)  - 변경전 : 광진구 자양로4길 25 1층(자양동)  - 변경후 : 광진구 자양강변길 491 1층(자양동)","20141015","","제61호","20141015","","2009-11-09 11:17:36.0","2014-10-15 15:41:01.0","1","0","0","0","1","143875","1121510500","1121583000","1","672","17",""
"PHMB520183040033042500002","3040000","신고","소독업","영업중","호성안전(주)","서울특별시 광진구 자양동 652번지 3호","796-9490","20050616","사업장 소재지 변경신고 - 변경전 : 용산구 한남동 604 동경빌딩 3층  - 변경후 : 광진구 뚝섬로 646  3층","소독업 사업장 소재지 변경","20180207","","21","20180207","","2009-01-13 11:14:59.0","2018-02-07 18:15:17.0","1","0","0","0","1","","1121510500","1121582000","1","652","3",""
"PHMB520173040033042500001","3040000","신고","소독업","영업중","서울광진지역자활센터","서울특별시 광진구 자양동 772번지 17호","02-499-8373","20170222","소독업 신고사항 변경(대표자 변경) - 변경전 : 유혜경 - 변경후 : 김은미","소독업 신고사항 변경(대표자 변경) - 변경전 : 유혜경 - 변경후 : 김은미","20190312","","","20190312","","2017-02-23 14:05:30.0","2019-03-12 15:23:46.0","1","0","0","0","1","05025 ","1121510500","","1","772","17",""
"PHMB520113040033042500004","3040000","신고","소독업","폐업","(주)한국경비","서울특별시 광진구 자양동 553번지 20호 자양빌딩 3층","02-733-4761","20110816","소독업 폐업신고처리","소독업 폐업신고처리","","20141105","제75호","20141105","20141105","2011-08-16 16:18:33.0","2014-11-05 16:21:16.0","1","0","0","0","1","143190","1121510500","1121584700","1","553","20","자양빌딩 3층"
"PHMB520133040033042500004","3040000","신고","소독업","직권폐업","주식회사 케이케어","서울특별시 광진구 광장동 331번지 3호 4층","1661-7731","20130614","소독업소 신고 취소처리(보건의료과-1948 2016.1.26)","감염병의 예방 및 관리에 관한 법률 제52조제2항에 의한 직권취소  - 부가가치세법 제5조제5항에 따라 관할세무서장에 폐업(2014.1.11.14일자 성동세무소)  - 소독업에 필요한 시설등이 없어진 상태가 6개월이상 계속됨","","","제82호","20160126","20160126","2013-06-14 14:41:20.0","2016-01-26 18:49:51.0","1","0","0","0","1","143809","1121510400","1121581000","1","331","3","4층"
"PHMB520063040033042500002","3040000","신고","소독업","영업중","태진자산관리(주)","서울특별시 광진구 구의동 218번지 6호 지층","458-7517","20060420","법인대표자 및 법인명 변경","","20120330","","제44호","20200513","","2010-11-08 13:39:27.0","2020-05-13 18:00:19.0","1","0","0","0","1","143200","1121510300","1121585000","1","218","6","지층"
"PHMB520153040033042500001","3040000","신고","소독업","영업중","(주)클린클리닉","서울특별시 광진구 자양동 24번지 11호","02-804-7200","20140214","소독업신고사항 변경신고(소재지)  - 변경전 : 서울시 서초구 동광로 17-1(방배동)  - 변경후 : 서울시 광진구 동일로 98  3층(자양동)","소독업신고사항 변경신고(소재지)  - 변경전 : 서울시 서초구 동광로 17-1(방배동)  - 변경후 : 서울시 광진구 동일로 98  3층(자양동)","20150212","","제92호","20150212","","2014-10-23 16:21:13.0","2015-02-12 17:18:43.0","1","0","0","0","1","143846","1121510500","1121582000","1","24","11",""
"PHMB520183040033042500004","3040000","신고","소독업","영업중","주식회사 에스탑","서울특별시 광진구 구의동 546번지 4호 테크노-마트21","02-2111-1272~3","20141229","소독업 신고사항 변경(소재지 변경) - 변경전 : 서울 광진구 광나루로 56길 85 11층 01호 - 변경후 : 서울 광진구 광나루로 56길 85 15층 01호","소재지 변경","20190116","","","20190116","","2014-12-29 17:49:05.0","2019-01-16 15:58:35.0","1","0","0","0","1","","1121510300","1121587000","1","546","4","테크노-마트21"
"PHMB520163040033042500001","3040000","신고","소독업","영업중","자바드림","서울특별시 광진구 구의동 596번지 1호","","20160310","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건의료과 민원접수번호 201630400330000871호를 처리함","20160310","","제101호","20160310","","2016-03-10 16:31:22.0","2016-03-10 16:32:13.0","1","0","0","0","1","","1121510300","","1","596","1",""
"PHMB520143040033042500002","3040000","신고","소독업","영업중","만국환경","서울특별시 광진구 중곡동 197번지 4호 1층","","20140331","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건의료과 민원접수번호 201430400330001212호를 처리함","20140331","","제85호","20140401","","2014-03-31 17:39:24.0","2014-04-01 13:23:24.0","1","0","0","0","1","143902","1121510100","","1","197","4","1층"
"PHMB520053040033042500002","3040000","신고","소독업","영업중","(주)진도프로인","","02-439-5526","20050204","답십리로 84길41 소재지 변경","소재지 변경","20170825","","제38호","20170825","","2010-11-08 13:18:52.0","2017-08-25 15:14:00.0","1","0","0","0","1","","","","","","",""
