"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520133160034042500006","3160000","신고","소독업","영업중","(주)태왕사이언스","서울특별시 구로구 구로3동 197번지 10호 이앤씨벤쳐드림타워2차 3층 307호","","20131218","대표자 변경 변경전 : 김정경 배찬원 변경후 : 김정경","감염병의 예방 및 관리에 관한 법률 제52조제1항","20160211","","","20160211","","2013-12-18 17:58:48.0","2016-02-11 18:03:08.0","1","0","0","0","1","152719","1153010200","1153054000","1","197","10","이앤씨벤쳐드림타워2차 3층 307호"
"PHMB520123160034042500001","3160000","신고","소독업","영업중","(주)프라임서비스","서울특별시 구로구 구로동 104번지 10호 동남오피스텔 1104호","2060-2290","20120410","소재지 변경(사무실) - 변경전 : 구로중앙로18길 5 607호(구로동 현대오피스텔) - 변경후 : 가마산로 279 1104호(구로동 동남오피스텔)","소독업 신고사항(사무실 소재지)  변경","20150520","","","20150520","","2012-04-12 08:58:50.0","2015-05-20 11:01:43.0","1","0","0","0","1","152705","1153010200","1153056000","1","104","10","동남오피스텔"
"PHMB520103160034042500007","3160000","신고","소독업","영업중","지피씨엔에스(주)","서울특별시 구로구 구로4동 317번지 93호 별관2층","02-2601-3399","20101105","대표자  - 변경전 : 최유헌  - 변경후 : 이남열","","20150114","","","20150114","","2010-11-08 15:06:10.0","2015-01-14 16:07:19.0","1","0","0","0","1","152850","1153010200","","1","317","93","별관2층"
"PHMB520013160034042500002","3160000","신고","소독업","폐업","대성산업씨엔에스(주)","서울특별시 구로구 구로1동 685번지 140호 사모아상가 404호","3281-5421","20011010","소독업 폐업신고","소독업 폐업","","20180412","26","20180412","20180412","2012-01-20 12:44:57.0","2018-04-12 14:40:51.0","1","0","0","0","1","152868","1153010200","1153052000","1","685","140","사모아상가 404호"
"PHMB520193160034042500003","3160000","신고","소독업","영업중","그린행복주식회사","서울특별시 구로구 구로동 94번지 8호","02-877-9452","20191108","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 지역보건과 민원접수번호 201931600340009397호를 처리함","20191108","","","20191108","","2019-11-08 17:36:54.0","2019-11-08 18:08:07.0","1","0","0","0","1","","1153010200","1153055000","1","94","8",""
"PHMB519953160034042500001","3160000","신고","소독업","영업중","(주)동근에프엠","서울특별시 구로구 오류1동 81번지 53호","2615-9488","19950614","상호 및 소재지 변경","상호 변경 및 사무실 이전","20081103","","3","20090226","","2008-11-03 11:20:38.0","2009-02-26 16:27:42.0","1","0","0","0","1","152894","1153010800","1153077000","1","81","53",""
"PHMB519983160034042500001","3160000","신고","소독업","영업중","흥산","서울특별시 구로구 궁동 98번지 3호","2625-7591","19980831","상호 변경","상호변경(흥산케미칼 - 흥산) : 이미지 개선","20081008","","7","20081027","","2008-10-08 11:14:36.0","2008-10-27 17:36:51.0","1","0","0","0","1","152110","1153010900","1153079000","1","98","3",""
"PHMB519993160034042500001","3160000","신고","소독업","영업중","온누리방역시스템","서울특별시 구로구 오류1동 142번지 26호","2682-1818","19991203","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20090226","","11","20090226","","2009-02-26 16:35:48.0","2009-02-26 16:35:48.0","1","","","","1","152904","1153010800","1153078000","1","142","26",""
"PHMB520013160034042500001","3160000","신고","소독업","영업중","에이스방역","서울특별시 구로구 구로본동 607번지 1호 우성빌딩 A동407호","671-3013","20010817","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20090226","","14","20090226","","2009-02-26 16:44:47.0","2009-02-26 16:44:47.0","1","","","","1","152059","1153010200","1153052000","1","607","1","우성빌딩 A동407호"
"PHMB520023160034042500001","3160000","신고","소독업","영업중","포스","서울특별시 구로구 개봉3동 368번지 1호 (지층)","6345-2188","20020604","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20090226","","16","20090226","","2009-02-26 16:51:53.0","2009-02-26 16:51:53.0","1","","","","1","152815","1153010700","1153076000","1","368","1","(지층)"
"PHMB520073160034042500002","3160000","신고","소독업","영업중","청우씨에스","서울특별시 구로구 오류1동 11번지 26호","2689-6809","20070125","사업장 소재지 변경","사업 확장","20090312","","33","20090323","","2009-03-12 08:55:31.0","2009-03-23 17:55:45.0","1","0","0","0","1","152889","1153010800","1153077000","1","11","26",""
"PHMB520083160034042500002","3160000","신고","소독업","폐업","한신공무","서울특별시 구로구 구로동 112번지 45호","","20080822","","","","20080822","4","20080822","20080822","2008-08-22 13:10:19.0","2008-08-22 13:15:11.0","1","0","0","0","1","152055","1153010200","1153056000","1","112","45",""
