"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520043100034042500002","3100000","신고","소독업","폐업","그린토탈크리닝","서울특별시 노원구 상계동 694번지 임광상가 203호","02-939-0840","20040531","","","","20181226","제 43 호","20181226","20181226","2010-03-19 16:34:56.0","2018-12-26 13:49:43.0","1","0","0","0","1","139908","1135010500","1135072000","1","694","","임광상가 203호"
"PHMB520153100034042500001","3100000","신고","소독업","폐업","하얀공간방역","","02-934-2317","20150123","소독업 폐업 신고","소독업 폐업 신고","","","제106호","20150813","20150813","2015-01-23 16:16:33.0","2015-08-13 15:48:07.0","1","0","0","0","1","","","","","","",""
"PHMB520093100034042500001","3100000","신고","소독업","영업중","(주)토마토세븐","서울특별시 노원구 상계동 6구역44블럭1롯트건영주상복합상가124125126.","","20090210","소독업소개설신고 민원","전염병예방법 시행규칙 제20조의2의 규정에 따라 지역보건과 민원접수번호 200931000340000152호를 처리함","20090210","","","20090216","","2009-02-16 13:45:45.0","2009-02-16 13:45:45.0","1","0","0","0","1","139200","1135010500","1135066500","1","","","6구역44블럭1롯트건영주상복합상가124125126."
"PHMB520093100034042500006","3100000","신고","소독업","폐업","스마일존","서울특별시 노원구 월계2동 633번지 105호","","20090507","","","","20190122","제68호","20190122","20190122","2009-05-12 10:32:53.0","2019-01-22 14:06:44.0","1","0","0","0","1","139848","1135010200","1135058000","1","633","105",""
"PHMB520193100034042500002","3100000","신고","소독업","영업중","(주)성주원","서울특별시 노원구 상계동 111번지 279호 초산아트빌라","02-3391-1175","20190111","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 생활보건과 민원접수번호 201931000000017836호를 처리함","20190111","","","20190111","","2019-01-11 17:04:58.0","2019-01-11 17:04:58.0","1","0","0","0","1","","1135010500","1135066500","1","111","279","초산아트빌라"
"PHMB520133100034042500004","3100000","신고","소독업","영업중","(주)지산아이앤씨","서울특별시 노원구 상계5동 442번지 7호 1층","070-4915-0869","20131118","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 생활건강과 민원접수번호 201331000340002466호를 처리함","20131118","","제99호","20190418","","2013-11-18 14:26:21.0","2019-04-18 09:42:22.0","1","0","0","0","1","139820","1135010500","1135067000","1","442","7","1층"
"PHMB520123100034042500006","3100000","신고","소독업","직권폐업","현우이앤씨(E&C)","서울특별시 노원구 상계3.4동 101번지 83호 1층","02-937-7857","20121026","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 생활건강과 민원접수번호 201231000340001985호를 처리함","","","제95호","20150813","20150811","2012-10-26 15:50:42.0","2015-08-13 16:23:13.0","1","0","0","0","1","139810","1135010500","1135064000","1","101","83","1층"
"PHMB520153100034042500004","3100000","신고","소독업","폐업","(주)경성종합관리","서울특별시 노원구 상계동 83번지 30호 지층","02-933-7464","20150702","폐업","폐업","","","제109호","20170928","20170928","2015-07-02 20:50:25.0","2017-09-28 10:37:43.0","1","0","0","0","1","","1135010500","1135063000","1","83","30","지층"
"PHMB520123100034042500003","3100000","신고","소독업","영업중","(주)토마토세븐","서울특별시 노원구 공릉동 441번지 92호","02-953-7410","20120718","소재지변경","소재지변경","20181205","","제92호","20181205","","2012-07-18 16:04:00.0","2018-12-05 16:22:49.0","1","0","0","0","1","","1135010300","1135060000","1","441","92",""
"PHMB520173100034042500002","3100000","신고","소독업","영업중","(주)다은개발","서울특별시 노원구 상계동 450번지","02-857-2291","20170406","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 생활건강과 민원접수번호 201731000340000451호를 처리함","20170406","","제119호","20190311","","2017-04-06 15:00:41.0","2019-03-11 11:37:12.0","1","0","0","0","1","","1135010500","1135067000","1","450","",""
