"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520153130033042500002","3130000","신고","소독업","폐업","마포지역자활센터","","312-7945","20150327","폐업","","","20191108","80","20191108","20191108","2015-03-27 14:05:51.0","2019-11-08 14:35:35.0","1","0","0","0","1","","","","","","",""
"PHMB520143130033042500002","3130000","신고","소독업","영업중","(주)동성티엠에스","","02-701-8005","20140924","대표자 변경 민병구 → 천순환","대표자 변경","20150430","","78","20150430","","2014-09-24 11:04:16.0","2015-04-30 17:47:40.0","1","0","0","0","1","","","","","","",""
"PHMB520173130033042500001","3130000","신고","소독업","영업중","피닉스","서울특별시 마포구 신수동 371번지 16호 순총빌딩 B101호","","20170213","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건행정과 민원접수번호 201731300000094101호를 처리함","20170215","","제89호","20170215","","2017-02-15 10:35:37.0","2017-02-15 11:23:18.0","1","0","0","0","1","","1144011100","1144063000","1","371","16","순총빌딩"
"PHMB520053130033042500001","3130000","신고","소독업","영업중","한미시설관리(주)","서울특별시 마포구 도화동 288번지 1호","02-713-1110","20050201","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20050201","","제 27 호","20090122","","2008-12-16 11:26:18.0","2009-01-22 14:03:47.0","1","","","","1","121040","1144010400","1144058500","1","288","1",""
"PHMB520043130033042500002","3130000","신고","소독업","영업중","(주)현장종합관리","서울특별시 마포구 동교동 165번지 8호 LG팰리스빌딩  5층","02-333-3842","20040310","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20040310","","제 26 호","20110712","","2008-12-16 11:22:36.0","2011-07-12 08:02:11.0","1","","","","1","121754","1144012100","1144066000","1","165","8","LG팰리스빌딩  5층"
"PHMB520043130033042500001","3130000","신고","소독업","영업중","(주)다빈환경","서울특별시 마포구 망원동 421번지 12호","02-337-5063","20040109","소재지 변경","사무실 이전","20140221","","제 25 호","20140225","","2008-12-16 11:18:39.0","2014-02-25 11:14:34.0","1","0","0","0","1","121823","1144012300","1144070000","1","421","12",""
"PHMB520023130033042500001","3130000","신고","소독업","폐업","SK방역공사","서울특별시 마포구 도화동 삼창프라자빌딩 13층","02-714-1119","20021129","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","","","제 22 호","20120727","","2008-12-16 11:13:17.0","2012-07-27 17:09:13.0","1","","","","1","121745","1144010400","1144058500","1","","","삼창프라자빌딩 13층"
"PHMB520063130033042500002","3130000","신고","소독업","영업중","(주)잡마스터","서울특별시 마포구 도화동 538번지 성지빌딩 809호","02-701-0369","20060622","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20060622","","제 34 호","20090122","","2008-12-16 12:04:06.0","2009-01-22 14:03:10.0","1","","","","1","121743","1144010400","1144058500","1","538","","성지빌딩 809호"
"PHMB520063130033042500005","3130000","신고","소독업","폐업","신풍종합개발","서울특별시 마포구 염리동 147번지 2호 지하1층","02-6048-9008","20060830","","사무실 이전","","20100517","제 37 호","20100517","","2008-12-16 12:10:16.0","2010-05-17 15:00:57.0","1","0","0","0","1","121872","1144010900","1144055500","1","147","2","지하1층"
"PHMB520053130033042500004","3130000","신고","소독업","폐업","반딧불이(주)이지코퍼레이션","서울특별시 마포구 도화동 555번지 한화오벨리스크 101동 2908호","02-711-5110","20051118","소독업 폐업신고","","","20120928","제 32 호","20120928","","2008-12-16 11:58:16.0","2012-09-28 16:41:46.0","1","0","0","0","1","121779","1144010400","1144058500","1","555","","한화오벨리스크 101동 2908호"
