"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520203030033042500008","3030000","신고","소독업","영업중","(주)아시아월드","서울특별시 성동구 성수동2가 277번지 17호 성수아카데미타워 1202호","02-424-5259","20200518","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 질병예방과 민원접수번호 202030300000288308호를 처리함","20200518","","","20200518","","2020-05-18 15:58:14.0","2020-05-18 15:58:14.0","1","0","0","0","1","","1120011500","1120069000","1","277","17","성수아카데미타워"
"PHMB520003030033042500001","3030000","신고","소독업","영업중","동아환경개발주식회사","서울특별시 성동구 용답동 232번지 6호 송전빌딩 109호","2247-3541","20000715","윤종열 ----> 김성호","대표자변경","20090225","","8","20090225","","2009-02-25 14:08:48.0","2009-02-25 14:50:29.0","1","0","0","0","1","133850","1120012200","1120079000","1","232","6","송전빌딩 109호"
"PHMB520073030033042500001","3030000","신고","소독업","영업중","주식회사 윈피앤에스","","460-3094","20070125","","","20200709","","25","20200710","","2010-05-06 11:30:25.0","2020-07-10 14:59:09.0","1","0","0","0","1","","","","","","",""
"PHMB520153030033042500002","3030000","신고","소독업","직권폐업","(주)석촌에스지","서울특별시 성동구 성수동2가 275번지 3호 경성빌딩 3층","02-563-0075","20130708","「감염병의 예방 및 관리에 관한 법률」 제52조 제2항 제1호에 의거 신고 취소 처리","「감염병의 예방 및 관리에 관한 법률」 제52조 제2항 제1호에 의거 신고 취소 처리","","","","20200106","20200106","2013-07-08 17:54:27.0","2020-01-06 15:16:00.0","1","0","0","0","1","","1120011500","1120069000","1","275","3","경성빌딩 3층"
"PHMB520153030033042500001","3030000","신고","소독업","폐업","리더스리빙","서울특별시 성동구 성수동2가 300번지 1호 지하1층","1588-0964","20070528","소독업 폐업","소독업 폐업","","20171229","129","20171229","20171229","2015-03-05 11:28:24.0","2017-12-29 17:15:49.0","1","0","0","0","1","133120","1120011500","1120069000","1","300","1","지하1층"
"PHMB520103030033042500003","3030000","신고","소독업","폐업","만국환경","서울특별시 성동구 금호동1가 179번지 10호 1층","2296-1413","20100812","","","","20140415","36","20140415","20140415","2010-08-12 15:34:10.0","2014-04-15 17:38:25.0","1","0","0","0","1","133091","1120010900","","1","179","10","1층"
"PHMB520133030033042500002","3030000","신고","소독업","영업중","(주)서울메트로환경","서울특별시 성동구  223번지 5호","","20130530","대표자 변경","대표자 변경","20170612","","","20170911","","2013-05-31 17:36:41.0","2017-09-11 15:21:33.0","1","0","0","0","1","133851","1120012200","","1","223","5",""
"PHMB520133030033042500007","3030000","신고","소독업","폐업","(주)디엠에스","","024619181","20130125","폐업","회사 내부사정으로 인한 폐업","","20151102","45","20151102","20151102","2015-11-02 11:43:48.0","2015-11-02 13:17:10.0","1","0","0","0","1","","","","","","",""
"PHMB520173030033042500001","3030000","신고","소독업","영업중","슈퍼맨 주식회사","","","20170727","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 질병예방과 민원접수번호 201730300000253347호를 처리함","20170727","","","20170727","","2017-07-27 16:40:33.0","2017-07-27 16:40:33.0","1","0","0","0","1","","","","","","",""
"PHMB520103030033042500002","3030000","신고","소독업","","향우종합관리주식회사","서울특별시 성동구 성수1가1동 656번지 282호 삼일빌딩 8층","417-9830","20100506","송파구 전출","송파구 올림픽로 35길 123 향군타워 6층으로 소재지 이전함에 따라 송파구로 전출처리함","20140227","","35","20140227","","2010-05-07 09:53:30.0","2014-02-27 10:12:06.0","1","0","0","0","1","133821","1120011400","1120065000","1","656","282","삼일빌딩 8층"
"PHMB520093030033042500003","3030000","신고","소독업","폐업","티엠환경(주)","서울특별시 성동구 도선동 16번지 2호 골롬반빌딩3층","2295-8387","20090825","영업부진으로 폐업신고","영업부진으로 폐업신고","","20190117","32","20190117","20190117","2009-08-25 16:00:14.0","2019-01-17 15:21:51.0","1","0","0","0","1","133882","1120010400","1120053500","1","16","2","골롬반빌딩3층"
