업소명,운영상태코드,주소,전화번호,지역
"㈜상상캔버스","영업중","","02-3446-3301",강남구
"(주)다대오서비스","영업중","서울특별시 강남구 수서동 712번지 한아름종합상가 205호","445-0493",강남구
"(주)한켐","영업중","서울특별시 강남구 삼성동 109번지 5호","",강남구
"(주)리빙크린","폐업","서울특별시 강남구 신사동","",강남구
"원미환경","폐업","서울특별시 강남구 역삼동 832번지 33호 822호","566-9823",강남구
"㈜사람코퍼레이션","영업중","서울특별시 강남구 청담동 131번지 13호","02-517-2550",강남구
"(주)팜클","영업중","서울특별시 강남구 개포2동 163번지 5호","02-470-3826",강남구
"(주)한국경호협회","폐업","서울특별시 강남구 청담동 109번지 19호 13통 1반 기린빌라 가동 102호","02-514-8112",강남구
"(주)인스케어코어","영업중","서울특별시 강남구 청담동 119번지 9호","02-486-3657",강남구
"주식회사 대원 비티에스","폐업","서울특별시 강남구 청담동 129번지 11호 세신빌딩 지하 2층","02-512-7976",강남구
"(주)청열","영업중","서울특별시 강남구 논현동 68번지 8호","3444-0231",강남구
"신한환경","폐업","서울특별시 강남구 개포동 1196번지 1호","02-578-7804/5",강남구
"(주)맑은크린","직권폐업","서울특별시 강남구 역삼동 739번지 5호 501호","02-576-0034",강남구
"(주)그린온","영업중","서울특별시 강남구 도곡동 425번지 7호 연산MS빌딩 402호","02-6010-7735",강남구
"강남클린방역","영업중","서울특별시 강남구 도곡동 456번지 12호 하우스라움","2226-0339",강남구
"에이엠영보(주)","영업중","서울특별시 강남구 대치동 945번지 22호","",강남구
"(주)엠택컨설팅","폐업","서울특별시 강남구 삼성동 141번지","02-6011-1583",강남구
"그린F5 강남점","직권폐업","서울특별시 강남구 역삼동 721번지 34호","02-556-6565",강남구
"사단법인 나누리 방역","폐업","서울특별시 강남구 수서동 721번지","02-451-5004",강남구
"(주)캡스텍","영업중","서울특별시 강남구 삼성1동 108번지 14호","02)510-8512",강남구
"(주)크린파워","폐업","서울특별시 강남구 도곡동 948번지 10호 1층","2058-1235",강남구
"에스디서비스코리아 주식회사","영업중","서울특별시 강남구 역삼동 721번지 39호 행남자기","070-4232-7727",강남구
"그린F5 강남영업본부","영업중","서울특별시 강남구 신사동 511번지 9호","",강남구
"(주)정다운세상","영업중","서울특별시 강남구 청담동 132번지 19호","070-4699-0251",강남구
"주식회사 세이클","영업중","서울특별시 강남구 신사동 638번지 9호","",강남구
"(주)대성비엠에스","영업중","서울특별시 강남구 청담동 12번지 18호 B2호","",강남구
"(주)해상","영업중","서울특별시 강남구 대치동 1002번지 B6층","1577-7453",강남구
"(주)보영씨앤피","영업중","서울특별시 강남구 삼성동 118번지 3호 호경타워","02-353-6601",강남구
"㈜유안에이치알","영업중","서울특별시 강남구 논현동 235-13 KTS빌딩","02-425-0206",강남구
"(주)한얼관리","영업중","서울특별시 강남구 일원동 666번지 3호","02-445-0291",강남구
"주식회사 프로에스콤","영업중","서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24빌딩","02-2183-3000",강남구
"위코스생명과학 주식회사","영업중","서울특별시 강남구 역삼동 702번지 2호","02-556-9887",강남구
"주식회사 드웰링","영업중","서울특별시 강남구 역삼동 751번지 16호 418호","02-558-1120",강남구
"(주)밝은환경","영업중","서울특별시 강남구 도곡동 457번지 4호","02-558-5161",강남구
"광성개발","폐업","서울특별시 강남구 도곡1동 934-10 우성상가 지하12호","552-8632",강남구
"에버그린월드 주식회사","영업중","서울특별시 강남구 개포동 1186번지 2호","02-574-6389",강남구
"베어하우징","영업중","서울특별시 강남구 대치동 989번지 1호","",강남구
"(주)IBS인더스트리","영업중","서울특별시 강남구 역삼동 662번지 17호 송헌빌딩","2231-8981",강남구
"평화환경","영업중","서울특별시 강남구 도곡동 895번지 12호","",강남구
"주식회사 휴먼헤드","영업중","서울특별시 강남구 삼성동 8번지 1호 건설빌딩","",강남구
"원방기업(주)","영업중","서울특별시 강남구 논현동 215번지 7호","548-2814",강남구
"㈜우송관리","영업중","서울특별시 강남구 개포동 1191번지 4호 지수빌딩","02-2058-1962",강남구
"지앤브이 사회적협동조합","폐업","서울특별시 강남구 개포동 1231번지 2호 3층","02-418-7741",강남구
