"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520183230034042500001","3230000","신고","소독업","폐업","코리아베스트씨스템","서울특별시 송파구 석촌동 276번지 2호 석촌꽃마을빌딩","","20180202","폐업","업종정리","","20190617","","20190617","20190617","2018-02-02 17:58:02.0","2019-06-17 12:56:03.0","1","0","0","0","1","","1171010500","1171060000","1","276","2","석촌꽃마을빌딩"
"PHMB520023230034042500001","3230000","신고","소독업","영업중","중앙방역","서울특별시 송파구 삼전동 14번지 6호 (지층)","02)423-9642","20020121","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20020121","","제 6 호","20090102","","2009-01-02 14:21:01.0","2009-01-02 18:00:33.0","1","","","","1","138837","1171010600","1171061000","1","14","6","(지층)"
"PHMB520023230034042500003","3230000","신고","소독업","영업중","(주)스마일종합관리","서울특별시 송파구 오금동 113번지 3호 송학빌딩 302호","02)443-1224","20021116","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20021116","","제73호","20090109","","2009-01-09 13:12:45.0","2009-01-09 13:15:01.0","1","","","","1","138858","1171011200","1171057000","1","113","3","송학빌딩 302호"
"PHMB520033230034042500002","3230000","신고","소독업","영업중","(주)한창탑","서울특별시 송파구 장지동 375번지 (1층)","02)2213-9022","20030417","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20041230","","제74호","20090109","","2009-01-09 11:32:54.0","2009-01-09 11:36:26.0","1","","","","1","138871","1171010900","1171064600","1","375","","(1층)"
"PHMB520033230034042500003","3230000","신고","소독업","영업중","원선환경방역","서울특별시 송파구 석촌동 273번지 1호 서원빌딩 708호","02)414-6638","20031212","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20041110","","제76호","20090109","","2009-01-09 11:39:51.0","2009-01-09 11:43:39.0","1","","","","1","138846","1171010500","1171060000","1","273","1","서원빌딩 708호"
"PHMB520053230034042500002","3230000","신고","소독업","영업중","자운환경(주)","서울특별시 송파구 가락동 79번지 4호 세화오피스텔 812호","02)443-2434","20050302","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20060907","","제82호","20090109","","2009-01-09 10:08:05.0","2009-01-09 10:11:27.0","1","","","","1","138160","1171010700","1171062000","1","79","4","세화오피스텔 812호"
"PHMB519963230034042500001","3230000","신고","소독업","영업중","조흥관리(주)","서울특별시 송파구 문정동 31번지 8호 자양빌딩 401호","02)403-0011","19960527","","","20090202","","제12호","20090202","","2009-01-02 18:31:26.0","2009-02-02 17:55:27.0","1","0","0","0","1","138825","1171010800","1171064100","1","31","8","자양빌딩 401호"
"PHMB520003230034042500001","3230000","신고","소독업","영업중","태경플랜트(주)","서울특별시 송파구 가락동 196번지 16호 (1층)","02)402-1371","20000228","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20000307","","제41호","20090109","","2009-01-09 17:25:01.0","2009-01-09 17:30:40.0","1","","","","1","138160","1171010700","1171063200","1","196","16","(1층)"
"PHMB520003230034042500002","3230000","신고","소독업","영업중","새한방역","서울특별시 송파구 거여동 33번지 7호 (3층)","02)408-0014","20000519","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20000519","","제43호","20090109","","2009-01-09 17:34:30.0","2009-01-09 17:39:06.0","1","","","","1","138110","1171011300","1171053200","1","33","7","(3층)"
"PHMB520003230034042500003","3230000","신고","소독업","영업중","온누리환경","서울특별시 송파구 방이동 108번지 10호 (2층)","02)413-2009","20000718","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20030412","","제47호","20090109","","2009-01-09 17:42:58.0","2009-01-09 17:53:42.0","1","","","","1","138050","1171011100","1171056200","1","108","10","(2층)"
"PHMB520003230034042500004","3230000","신고","소독업","영업중","에이취이아이(주)","서울특별시 송파구 송파동 19번지 5호 남경빌딩 303호","02)420-2746","20000814","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20030805","","제48호","20090109","","2009-01-09 17:57:18.0","2009-01-09 18:10:29.0","1","","","","1","138170","1171010400","1171058000","1","19","5","남경빌딩 303호"
"PHMB520003230034042500005","3230000","신고","소독업","영업중","(주)벡스원","서울특별시 송파구 가락동 70번지 19호 가락대림상가 3층","02)403-7688","20001023","","","20090130","","제52호","20090202","","2009-01-30 10:35:21.0","2009-02-02 17:11:31.0","1","0","0","0","1","138160","1171010700","1171062000","1","70","19","가락대림상가 3층"
