"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520143180034042500004","3180000","신고","소독업","영업중","(주)세스코 영등포지사","","02-2676-8301","20140430","","","20170316","","제 160 호","20170317","","2014-04-30 11:55:46.0","2017-03-17 11:44:54.0","1","0","0","0","1","","","","","","",""
"PHMB520093180034042500015","3180000","신고","소독업","영업중","삼호실업(주)","서울특별시 영등포구 여의도동 25번지 5호 1403호","02)780-0636","20091016","대표자 장인수 -> 대표자 조금순","대표자 장인수 사망","20180509","","5","20180510","","2009-10-16 15:12:10.0","2018-05-10 09:50:53.0","1","0","0","0","1","150878","1156011000","1156054000","1","25","5","1403호"
"PHMB520203180034042500026","3180000","신고","소독업","영업중","(주)대교산업","서울특별시 영등포구 여의도동 25-3 동화빌딩","02-783-2272","20200709","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건지원과 민원접수번호 202031800340004512호를 처리함","20200709","","","20200710","","2020-07-10 10:20:24.0","2020-07-10 10:20:24.0","1","0","0","0","1","","1156011000","1156054000","1","25","3","동화빌딩"
"PHMB520203180034042500003","3180000","신고","소독업","영업중","주식회사 오성이앤비","서울특별시 영등포구 양평동1가 116번지 48호","","20180108","경기도 화성시 보건소에서 2020년 03월 09일부로 전출처리됨 변경 전: 경기도 화성시 여울로4길 34 대훈빌딩 4층 402호 변경 후: 서울시 영등포구 선유로27길 2","소재지변경","20180108","","","20200317","","2018-01-09 09:22:20.0","2020-03-17 10:04:53.0","1","0","0","0","1","","1156012500","1156061000","1","116","48",""
"PHMB520203180034042500021","3180000","신고","소독업","영업중","(주)케이디텍","서울특별시 영등포구 양평동2가 37번지 1호 동아프라임밸리","02-6096-6380","20200604","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건지원과 민원접수번호 202031800340003635호를 처리함","20200604","","","20200604","","2020-06-04 17:47:53.0","2020-06-04 17:47:53.0","1","0","0","0","1","","1156012600","1156061000","1","37","1","동아프라임밸리"
"PHMB520093180034042500001","3180000","신고","소독업","영업중","(주)잉글리쉬맨파워코리아","서울특별시 영등포구 여의도동 36번지 2호 맨하탄빌딩 11층 6호","","20090203","대장초기자료 입력","소재지변경 및 법인변경","20090204","","69","20090204","","2009-02-04 09:18:44.0","2009-02-04 10:42:44.0","1","0","0","0","1","150886","1156011000","1156054000","1","36","2","맨하탄빌딩 11층 6호"
"PHMB520093180034042500002","3180000","신고","소독업","영업중","(주)특임용역사업단","서울특별시 영등포구 여의도동 14번지 2호 동아빌딩 5층","738-8240","20090324","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20090324","","98","20090324","","2009-03-24 16:56:25.0","2009-03-24 16:56:25.0","1","","","","1","150701","1156011000","1156054000","1","14","2","동아빌딩 5층"
"PHMB520093180034042500003","3180000","신고","소독업","영업중","(주)특임용역사업단","서울특별시 영등포구 여의도동 14번지 2호 동아빌딩 5층","7388240","20090324","소독업소개설신고 민원","전염병예방법 시행규칙 제20조의2의 규정에 따라 보건지원과 민원접수번호 200931800340001282호를 처리함","20090324","","","20090324","","2009-03-24 17:40:06.0","2009-03-24 17:40:06.0","1","0","0","0","1","150871","1156011000","1156054000","1","14","2","동아빌딩 5층"
"PHMB520113180034042500010","3180000","신고","소독업","폐업","크린청","서울특별시 영등포구 도림동 107번지 4호 1층","070-7590-1233","20110930","폐업","개인사유","","","","20160920","20160907","2011-09-30 15:55:19.0","2016-09-20 13:19:20.0","1","0","0","0","1","150829","1156011800","1156058500","1","107","4","1층"
"PHMB520093180034042500009","3180000","신고","소독업","폐업","(주)광진씨엔에스","서울특별시 영등포구 신길동 116번지 1호 4층","832-6206","20030624","폐업","자진폐업","","20180202","제 58 호","20180202","20180202","2009-07-07 12:00:18.0","2018-02-02 17:59:11.0","1","0","0","0","1","","1156013200","1156063000","1","116","1","4층"
"PHMB520193180034042500004","3180000","신고","소독업","영업중","스마일크린","","","20190318","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건지원과 민원접수번호 201931800340001453호를 처리함","20190318","","","20190319","","2019-03-19 09:32:17.0","2019-03-19 09:32:17.0","1","0","0","0","1","07369 ","","","","","",""
"PHMB520013180034042500001","3180000","신고","소독업","영업중","명진기업(주)","서울특별시 영등포구 양평동2가 37번지 2호","","20010604","소독업소 초기자료 등록","","20010604","","제43호","20170605","","2016-11-28 15:33:08.0","2017-06-05 15:51:09.0","1","0","0","0","1","","1156012600","1156061000","1","37","2",""
"PHMB520103180034042500013","3180000","신고","소독업","영업중","선우환경관리(주)","서울특별시 영등포구 당산동6가 306번지 1호","","20101210","대표자변경[정경애(66.03.05) -> 정경숙(690102)","대표자 변경","20180117","","제118호","20180117","","2010-12-10 16:20:18.0","2018-01-17 15:08:12.0","1","0","0","0","1","150809","1156011600","1156056000","1","306","1",""
