"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520113000034042500001","3000000","신고","소독업","영업중","(주) 두리교우파워시스템","서울특별시 종로구 명륜2가 93번지","02-766-5477","20110217","대표자변경(변경전:이영화 -> 변경후:허은수)","","20181203","","","20181203","","2011-02-21 18:36:57.0","2018-12-03 10:21:40.0","1","0","0","0","1","110522","1111017100","1111065000","1","93","",""
"PHMB520093000034042500002","3000000","신고","소독업","영업중","(주)뉴브테크","서울특별시 종로구 창신동 327번지 2호 금호팔레스빌딩 1706호","6261-3737","20090205","소독업소개설신고 민원","전염병예방법 시행규칙 제20조의2의 규정에 따라 보건위생과 민원접수번호 200930000340000415호를 처리함","20090206","","","20090206","","2009-02-06 11:30:20.0","2009-02-06 11:30:20.0","1","0","0","0","1","110540","1111017400","1111067000","1","327","2","금호팔레스빌딩 1706호"
"PHMB520073000034042500002","3000000","신고","소독업","폐업","명성코리아","서울특별시 종로구 무악동 63번지 4호 2층","733-3355","20070629","","","","","29","20140817","20110523","2009-05-06 13:31:11.0","2014-08-17 15:39:30.0","1","0","0","0","1","110814","1111018700","1111057000","1","63","4","2층"
"PHMB520063000034042500001","3000000","신고","소독업","폐업","페스콘 방역","서울특별시 종로구 인사동 153번지 3호 금좌빌딩 303호","954-3828","20061108","소독업의 폐업","","","","27","20140817","20100317","2009-05-06 13:19:11.0","2014-08-17 15:31:35.0","1","0","0","0","1","110290","1111013600","1111061500","1","153","3","금좌빌딩 303호"
"PHMB520093000034042500001","3000000","신고","소독업","폐업","아스코텍유한회사","서울특별시 종로구 연지동 105번지 감자빌딩 202호","745-8879","20090205","소독업소개설신고 민원","전염병예방법 시행규칙 제20조의2의 규정에 따라 보건위생과 민원접수번호 200930000340000416호를 처리함","","","32","20140817","20091130","2009-02-06 11:29:11.0","2014-08-17 15:37:25.0","1","0","0","0","1","110470","1111016000","1111063000","1","105","","감자빌딩 202호"
"PHMB520203000034042500009","3000000","신고","소독업","영업중","나노코리아","서울특별시 종로구 묘동 88번지 1호","","20200618","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건위생과 민원접수번호 202030000340002348호를 처리함","20200618","","","20200619","","2020-06-19 09:40:29.0","2020-06-19 09:40:29.0","1","0","0","0","1","","1111015100","1111061500","1","88","1",""
"PHMB520023000034042500002","3000000","신고","소독업","영업중","우지기업주식회사","서울특별시 종로구 내자동 167번지 2호 2층","","20020312","소독업소 초기자료 등록","전염병예방법 시행규칙 제20조의2의 규정에 따라 처리된 대장정보를 초기자료 등록 함.","20020312","","19","20150109","","2009-05-04 09:29:55.0","2015-01-09 14:43:58.0","1","0","0","0","1","110053","1111011400","1111053000","1","167","2","2층"
"PHMB520143000034042500002","3000000","신고","소독업","영업중","녹색방역","","","20140326","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건위생과 민원접수번호 201430000340001659호를 처리함","20140326","","48","20150109","","2014-03-26 18:26:40.0","2015-01-09 14:52:20.0","1","0","0","0","1","","","","","","",""
"PHMB520133000034042500001","3000000","신고","소독업","영업중","(주)진명스탭스","서울특별시 종로구 신문로1가 238번지 신문로빌딩","02-738-9126","20130430","대표자변경(변경전: 이광식 외 1명->변경후: 박종휘)","","20190619","","제 45 호","20190619","","2013-04-30 15:42:38.0","2019-06-19 16:44:16.0","1","0","0","0","1","","1111012000","1111053000","1","238","","신문로빌딩"
"PHMB520173000034042500003","3000000","신고","소독업","영업중","(주)에스제이파워","서울특별시 종로구 관수동 21번지 8호","02-2069-1012","20140610","2017.5.23 영등포구에서 종로구 수표로 96 7805호로  소재지 변경","2017.5.23 영등포구에서 종로구 수표로 96 7805호로  소재지 변경","20170523","","제 161 호","20170731","","2014-06-10 14:01:55.0","2017-07-31 11:04:02.0","1","0","0","0","1","","1111015500","1111061500","1","21","8",""
