"인허가번호","시군구코드","신청분류코드","업무구분코드","운영상태코드","업소명","주소","전화번호","인허가일자","인허가내용","인허가사유내용","신고일자","준공일자","시군구인허가번호","삭제일자","취소일자","최초등록시점","최종수정시점","대상일련번호","대표자조직관리ID","조직관리ID","상위조직관리ID","조직비조직구분코드","우편번호","지역코드","행정동코드","산","번지","호","특수주소"
"PHMB520163060034042500001","3060000","신고","소독업","영업중","(주)케이디앤컴퍼니","서울특별시 중랑구 신내동","02-2233-9991","20160201","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건행정과 민원접수번호 201630600000049554호를 처리함","20160201","","","20160201","","2016-02-01 16:36:58.0","2016-02-01 16:36:58.0","1","0","0","0","1","","1126010600","1126069000","1","","",""
"PHMB520133060034042500001","3060000","신고","소독업","영업중","서울중랑유린지역자활센터","서울특별시 중랑구 신내동 574번지 3층","02-436-4767","20130318","대표자 변경  변경 전 : 박중석   변경 후 : 서희영","대표자 변경","20190108","","","20190111","","2013-03-18 16:52:38.0","2019-01-11 10:17:42.0","1","0","0","0","1","","1126010600","1126068000","1","574","","3층"
"PHMB520193060034042500004","3060000","신고","소독업","영업중","한일소독","서울특별시 중랑구 면목동 174번지 80호 피스풀하우스","","20190307","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건행정과 민원접수번호 201930600000121449호를 처리함","20190307","","","20190307","","2019-03-07 18:25:51.0","2019-03-07 18:25:51.0","1","0","0","0","1","","1126010100","1126052000","1","174","80","피스풀하우스"
"PHMB520143060034042500002","3060000","신고","소독업","영업중","(주)광개토환경","서울특별시 중랑구 망우동 355번지 33호","","20140620","대표자 추가 변경전 : 김종호 변경후 : 김종호 윤영미","공동대표이사 취임","20160212","","","20160212","","2014-06-20 13:17:30.0","2016-02-12 13:43:50.0","1","0","0","0","1","131804","1126010500","","1","355","33",""
"PHMB520073060034042500001","3060000","신고","소독업","폐업","(주)환경 일일구세상","서울특별시 중랑구 면목동 면목1차 두산@ 1층 8호","","20071213","영업부진으로 인하여 2009년 1월6일 폐업","","","20090106","45","20090108","20090106","2009-01-08 15:21:07.0","2009-01-08 15:42:43.0","1","0","0","0","1","131200","1126010100","1126057500","1","","","면목1차 두산@ 1층 8호"
"PHMB520203060034042500008","3060000","신고","소독업","영업중","더하라 클린 앤 케어","서울특별시 중랑구 면목동 383-2 삼성리치빌","","20200710","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건행정과 민원접수번호 202030600000358163호를 처리함","20200710","","","20200710","","2020-07-10 14:19:00.0","2020-07-10 14:19:00.0","1","0","0","0","1","","1126010100","1126054000","1","383","2","삼성리치빌"
"PHMB520123060034042500001","3060000","신고","소독업","폐업","에스지클린(주)","서울특별시 중랑구 면목2동 192번지 70호  4층","02-2208-1270","20120117","폐업","자진폐업","","20150327","","20150327","20150327","2012-01-18 11:45:25.0","2015-03-27 09:39:26.0","1","0","0","0","1","131824","1126010100","1126052000","1","192","70","4층"
"PHMB520193060034042500001","3060000","신고","소독업","영업중","한국청소산업(주)","서울특별시 중랑구 상봉동 120번지 8호 동화빌딩","02-433-0666","20190115","소독업소개설신고 민원","감염병의 예방 및 관리에 관한 법률 제52조 및 같은 법 시행규칙 제37조제3항에 따라 보건행정과 민원접수번호 201930600000018339호를 처리함","20190115","","","20190115","","2019-01-15 16:21:15.0","2019-01-15 16:21:15.0","1","0","0","0","1","","1126010200","1126058000","1","120","8","동화빌딩"
"PHMB520133060034042500002","3060000","신고","소독업","폐업","(주)동일아이티","서울특별시 중랑구 중화2동 320번지 113호 1층","02-438-0187","20130417","","","","20150804","","20150804","20150804","2013-04-19 08:45:18.0","2015-08-04 16:04:51.0","1","0","0","0","1","131879","1126010300","1126061000","1","320","113","1층"
"PHMB520153060034042500001","3060000","신고","소독업","영업중","중랑구새마을협동조합","","02-2209-2237","20150311","대표자 변경 변경전 : 이경백  변경후 : 최성환","","20170706","","","20170707","","2015-03-11 14:43:09.0","2017-07-07 09:56:34.0","1","0","0","0","1","","","","","","",""
